name,address
빽다방,"서울 중랑구 용마산로 388(면목동, 성호유치원) 1층"
빽다방,"서울특별시 강서구 화곡로 238 (화곡동, 아덴하임) 1층 103호 "
빽보이피자,서울특별시 서초구 서초대로 280 1층 포장 주문 번호
홍콩반점0410,서울 관악구 양녕로 42 (봉천동) 1층
빽다방,서울시 성북구 오패산로 46
역전우동0410,서울 동작구 동작대로27길 9 (사당동) 1층
리춘시장,서울 강동구 천호동 454-53 2층
빽다방,서울시 광진구 구의로6
빽보이피자,서울 동대문구 이문동 287-61 1층 포장 주문 번호
빽보이피자,"서울 은평구 연서로26길 4 (대조동, 학송빌딩) 1층 포장 주문 번호"
역전우동0410,서울 노원구 하계동 170-33 1층
빽다방,서울 관악구 신림동 726-7( 난곡로 217) 1
빽다방,서울 강북구 수유동 279-84
빽다방,"서울 구로구 새말로 97 (구로동, 신도림테크노마트) 34층"
빽다방,서울 금천구 가산동 60-51(디지털로 200) 가산IT타워 1층
빽다방,서울 종로구 수송동 58
빽다방,서울 노원구 하계동 179-25 1층
빽다방,서울 마포구 망원동 419-3(망원로 19)참존아파트상가 105호
빽다방,"서울 노원구 월계로 334, 102호"
빽보이피자,서울 강동구 천호동 50-13 프라임빌딩 1층 105호 포장 주문 번호
빽다방,서울 성동구 상원길 50
고투웍,서울 강남구 강남대로 438 2층 212호
연돈볼카츠,"서울 용산구 한강대로23길 55 (한강로3가, 용산역) 지하2층 이마트용산점 內"
빽다방,서울 송파구 석촌호수로 144
빽보이피자,"서울 노원구 상계로1길 14-11 (상계동, 하이웰빙상가) 하이웰빙상가 1층 포장 주문 번호"
빽다방,서울 용산구 회나무로13길 5
제순식당,"서울 서대문구 연세로 50 연세대학교 신촌캠퍼스 SK국제학사, B2층"
백스비어,"서울 은평구 진관3로 11, 제101동 제1층 제101호(진광동, 은평뉴타운 힐데스하임)"
인생설렁탕,"서울특별시 서대문구 연세로 50, 지하 2층"
빽보이피자,서울 서초구 반포동 738-43 1층 포장 주문 번호
한신포차,서울 노원구 섬밭로 19 1층 102호
빽다방,서울 강북구 미아동 867-118
빽다방,"서울 동대문구 장안벚꽃로 107 (장안동, 장안현대홈타운) 1층 109호"
빽보이피자,서울 송파구 장지동 894 5동 107호 포장 주문 번호
빽다방,"서울 서대문구 수색로2길 39 (남가좌동, DMC금호리첸시아) 1층 106호"
빽다방,"서울시 양천구 목동동로 293, 1층 1-10호(목동, 현대41타워)"
