,name,address,lat,lng
0,빽다방,서울특별시 중랑구 용마산로 388,error,error
1,빽다방,서울특별시 강서구 화곡로 238,error,error
2,빽보이피자,서울특별시 서초구 서초대로 280,error,error
3,홍콩반점0410,서울특별시 관악구 양녕로 42,error,error
4,빽다방,서울특별시 성북구 오패산로 46,37.6027309,127.038267
5,역전우동0410,서울특별시 동작구 동작대로27길 9,error,error
6,리춘시장,서울특별시 강동구 천호동 454-53,error,error
7,빽다방,서울특별시 광진구 구의로 6,error,error
8,빽보이피자,서울특별시 동대문구 이문동 287-61,error,error
9,빽보이피자,서울특별시 은평구 연서로26길 4,error,error
10,역전우동0410,서울특별시 노원구 하계동 170-33,error,error
11,빽다방,서울특별시 관악구 신림동 726-7,error,error
12,빽다방,서울특별시 강북구 수유동 279-84,37.6352212,127.0090642
13,빽다방,서울특별시 구로구 새말로 97,error,error
14,빽다방,서울특별시 금천구 가산동 60-51,error,error
15,빽다방,서울특별시 종로구 수송동 58,37.57371,126.98093
16,빽다방,서울특별시 노원구 하계동 179-25,error,error
17,빽다방,서울특별시 마포구 망원동 419-3,error,error
18,빽다방,서울특별시 노원구 월계로 334,37.6251206,127.0505543
19,빽보이피자,서울특별시 강동구 천호동 50-13,error,error
20,빽다방,서울특별시 성동구 상원길 50,37.5489341,127.0480988
21,고투웍,서울특별시 강남구 강남대로 438,error,error
22,연돈볼카츠,서울특별시 용산구 한강대로23길 55,error,error
23,빽다방,서울특별시 송파구 석촌호수로 144,37.5080571,127.1029546
24,빽보이피자,서울특별시 노원구 상계로1길 14-11,error,error
25,빽다방,서울특별시 용산구 회나무로13길 5,37.5416891,126.9906339
26,제순식당,서울특별시 서대문구 연세로 50,error,error
27,백스비어,서울특별시 은평구 진관3로 11,error,error
28,인생설렁탕,서울특별시 서대문구 연세로 50,error,error
29,빽보이피자,서울특별시 서초구 반포동 738-43,error,error
30,한신포차,서울특별시 노원구 섬밭로 19,error,error
31,빽다방,서울특별시 강북구 미아동 867-118,error,error
32,빽다방,서울특별시 동대문구 장안벚꽃로 107,error,error
33,빽보이피자,서울특별시 송파구 장지동 894,error,error
34,빽다방,서울특별시 서대문구 수색로2길 39,error,error
35,빽다방,서울특별시 양천구 목동동로 293,error,error
36,빽다방,서울특별시 강남구 논현동 164-11,error,error
37,빽다방,서울특별시 강동구 올림픽로78길 30,error,error
38,역전우동0410,서울특별시 성북구 안암동5가 94-2,error,error
39,인생설렁탕,서울특별시 영등포구 당산로41길 11,error,error
40,빽보이피자,서울특별시 강북구 번동 446-47,error,error
41,빽보이피자,서울특별시 구로구 구로동 1280,error,error
42,빽다방,서울특별시 서대문구 연세로 50,error,error
43,빽다방,서울특별시 강서구 공항대로41길 51,error,error
44,백스비어,서울특별시 강동구 상일로 17,error,error
45,빽보이피자,서울특별시 성북구 고려대로24길 58-5,error,error
46,빽보이피자,서울특별시 양천구 중앙로43길 14,error,error
47,빽다방,서울특별시 강동구 동남로75길 13-7,37.5542942,127.1553884
48,빽보이피자,서울특별시 은평구 진관3로 11,error,error
49,빽다방,서울특별시 성북구 삼선교로 2-1,error,error
50,빽다방,서울특별시 금천구 독산로 211,error,error
51,빽보이피자,서울특별시 동대문구 답십리동 243-3,error,error
52,빽보이피자,서울특별시 강서구 강서로 279,error,error
53,빽보이피자,서울특별시 송파구 가락로12길 4,error,error
54,연돈볼카츠,서울특별시 영등포구 신길로28길 9,error,error
55,연돈볼카츠,서울특별시 관악구 봉천동 972-1,error,error
56,빽다방,서울특별시 강서구 공항대로 228,error,error
57,백스비어,서울특별시 마포구 상암동 4-1,error,error
58,빽다방,서울특별시 강서구 내발산동 750-12,error,error
59,빽다방,서울특별시 강서구 화곡로 318-1,error,error
60,빽다방,서울특별시 양천구 신정동 318-5,error,error
61,빽다방,서울특별시 성북구 길음동 508-16,error,error
62,빽다방,서울특별시 용산구 갈월동 90-10,37.54487,126.9715441
63,고투웍,서울특별시 성동구 성수동 2가 314-13,error,error
64,빽다방,서울특별시 송파구 가락동 166-2,error,error
65,빽다방,서울특별시 노원구 상계동 456-129,37.66727,127.07242
66,역전우동0410,서울특별시 양천구 중앙로43길 14,error,error
67,리춘시장,서울특별시 강남구 테헤란로1길 30,error,error
68,빽다방,서울특별시 동대문구 장한로 105,error,error
69,빽보이피자,서울특별시 서대문구 연희로 36,error,error
70,연돈볼카츠,서울특별시 영등포구 문래로 79-4,error,error
71,빽보이피자,서울특별시 관악구 쑥고개로 50,37.4794568,126.9444649
72,빽다방,서울특별시 구로구 구로동 730-60,error,error
73,인생설렁탕,서울특별시 강서구 강서로 60-1,error,error
74,홍콩반점0410,서울특별시 서대문구 세검정로 52-10,error,error
75,역전우동0410,서울특별시 관악구 신림동 617-1,37.4868245,126.9282616
76,빽보이피자,서울특별시 강서구 강서로 60-1,error,error
77,홍콩반점0410,서울특별시 용산구 한남대로21길 20,error,error
78,롤링파스타,서울특별시 강서구 화곡로 166,error,error
79,백스비어,서울특별시 동작구 여의대방로22길 121,error,error
80,빽다방,서울특별시 영등포구 국회대로50길 20,error,error
81,빽다방,서울특별시 금천구 가산디지털1로 16,error,error
82,빽다방,서울특별시 금천구 가산동 60-5,error,error
83,연돈볼카츠,서울특별시 성동구 마조로1길 41,error,error
84,연돈볼카츠,서울특별시 강남구 삼성로 238,37.4986054,127.0614326
85,연돈볼카츠,서울특별시 송파구 올릭핌로 118,error,error
86,연돈볼카츠,서울특별시 강남구 강남대로 438,error,error
