,name,address
0,빽다방,서울특별시 중랑구 용마산로 388
1,빽다방,서울특별시 강서구 화곡로 238
2,빽보이피자,서울특별시 서초구 서초대로 280
3,홍콩반점0410,서울특별시 관악구 양녕로 42
4,빽다방,서울특별시 성북구 오패산로 46
5,역전우동0410,서울특별시 동작구 동작대로27길 9
6,리춘시장,서울특별시 강동구 천호동 454-53
7,빽다방,서울특별시 광진구 구의로 6
8,빽보이피자,서울특별시 동대문구 이문동 287-61
9,빽보이피자,서울특별시 은평구 연서로26길 4
10,역전우동0410,서울특별시 노원구 하계동 170-33
11,빽다방,서울특별시 관악구 신림동 726-7
12,빽다방,서울특별시 강북구 수유동 279-84
13,빽다방,서울특별시 구로구 새말로 97
14,빽다방,서울특별시 금천구 가산동 60-51
15,빽다방,서울특별시 종로구 수송동 58
16,빽다방,서울특별시 노원구 하계동 179-25
17,빽다방,서울특별시 마포구 망원동 419-3
18,빽다방,서울특별시 노원구 월계로 334
19,빽보이피자,서울특별시 강동구 천호동 50-13
20,빽다방,서울특별시 성동구 상원길 50
21,고투웍,서울특별시 강남구 강남대로 438
22,연돈볼카츠,서울특별시 용산구 한강대로23길 55
23,빽다방,서울특별시 송파구 석촌호수로 144
24,빽보이피자,서울특별시 노원구 상계로1길 14-11
25,빽다방,서울특별시 용산구 회나무로13길 5
26,제순식당,서울특별시 서대문구 연세로 50
27,백스비어,서울특별시 은평구 진관3로 11
28,인생설렁탕,서울특별시 서대문구 연세로 50
29,빽보이피자,서울특별시 서초구 반포동 738-43
30,한신포차,서울특별시 노원구 섬밭로 19
31,빽다방,서울특별시 강북구 솔매로 52
32,빽다방,서울특별시 동대문구 장안벚꽃로 107
33,빽보이피자,서울특별시 송파구 장지동 894
34,빽다방,서울특별시 서대문구 수색로2길 39
35,빽다방,서울특별시 양천구 목동동로 293
36,빽다방,서울특별시 강남구 논현동 164-11
37,빽다방,서울특별시 강동구 올림픽로78길 30
38,역전우동0410,서울특별시 성북구 안암동5가 94-2
39,인생설렁탕,서울특별시 영등포구 당산로41길 11
40,빽보이피자,서울특별시 강북구 번동 446-47
41,빽보이피자,서울특별시 구로구 구로동 1280
42,빽다방,서울특별시 서대문구 연세로 50
43,빽다방,서울특별시 강서구 공항대로41길 51
44,백스비어,서울특별시 강동구 상일로 17
45,빽보이피자,서울특별시 성북구 고려대로24길 58-5
46,빽보이피자,서울특별시 양천구 중앙로43길 14
47,빽다방,서울특별시 강동구 동남로75길 13-7
48,빽보이피자,서울특별시 은평구 진관3로 11
49,빽다방,서울특별시 성북구 삼선교로 2-1
50,빽다방,서울특별시 금천구 독산로 211
51,빽보이피자,서울특별시 동대문구 답십리동 243-3
52,빽보이피자,서울특별시 강서구 강서로 279
53,빽보이피자,서울특별시 송파구 가락로12길 4
54,연돈볼카츠,서울특별시 영등포구 신길로28길 9
55,연돈볼카츠,서울특별시 관악구 봉천동 972-1
56,빽다방,서울특별시 강서구 공항대로 228
57,백스비어,서울특별시 마포구 상암동 4-1
58,빽다방,서울특별시 강서구 내발산동 750-12
59,빽다방,서울특별시 강서구 화곡로 318-1
60,빽다방,서울특별시 양천구 신정동 318-5
61,빽다방,서울특별시 성북구 길음동 508-16
62,빽다방,서울특별시 용산구 갈월동 90-10
63,고투웍,서울특별시 성동구 연무장5가길 7
64,빽다방,서울특별시 송파구 가락동 166-2
65,빽다방,서울특별시 노원구 상계동 456-129
66,역전우동0410,서울특별시 양천구 중앙로43길 14
67,리춘시장,서울특별시 강남구 테헤란로1길 30
68,빽다방,서울특별시 동대문구 장한로 105
69,빽보이피자,서울특별시 서대문구 연희로 36
70,연돈볼카츠,서울특별시 영등포구 문래로 79-4
71,빽보이피자,서울특별시 관악구 쑥고개로 50
72,빽다방,서울특별시 구로구 구로동 730-60
73,인생설렁탕,서울특별시 강서구 강서로 60-1
74,홍콩반점0410,서울특별시 서대문구 세검정로 52-10
75,역전우동0410,서울특별시 관악구 신림동 617-1
76,빽보이피자,서울특별시 강서구 강서로 60-1
77,홍콩반점0410,서울특별시 용산구 한남대로21길 20
78,롤링파스타,서울특별시 강서구 화곡로 166
79,백스비어,서울특별시 동작구 여의대방로22길 121
80,빽다방,서울특별시 영등포구 국회대로50길 20
81,빽다방,서울특별시 금천구 가산디지털1로 16
82,빽다방,서울특별시 금천구 가산동 60-5
83,연돈볼카츠,서울특별시 성동구 마조로1길 41
84,연돈볼카츠,서울특별시 강남구 삼성로 238
85,연돈볼카츠,서울특별시 송파구 올림픽로 118
86,연돈볼카츠,서울특별시 강남구 강남대로 438
87,홍콩반점0410,서울특별시 서대문구 독립문로 15
88,빽다방,서울특별시 중랑구 면목로27길 4
89,빽다방,서울특별시 관악구 신림로23길 21
90,빽다방,서울특별시 강북구 도봉로67길 8
91,빽다방,서울특별시 송파구 송파동 19-8
92,빽다방,서울특별시 종로구 율곡로 63
93,빽다방,서울특별시 노원구 동일로 986
94,빽다방,서울특별시 종로구 경교장길 35
95,빽다방,서울특별시 도봉구 노해로63다길 10
96,빽다방,서울특별시 송파구 법원로 114
97,리춘시장,서울특별시 마포구 서교동 397-10
98,성성식당,서울특별시 강북구 수유동 279-126
99,홍콩반점0410,서울특별시 은평구 진관3로 22
100,빽다방,서울특별시 강북구 번동 310-4
101,백스비어,서울특별시 은평구 연서로29길 14-13
102,빽다방,서울특별시 구로구 디지털로31길 41
103,홍콩반점0410,서울특별시 송파구 오금로11길 11-8
104,빽다방,서울특별시 노원구 중계동 606
105,빽다방,서울특별시 광진구 아차산로36길 5
106,빽다방,서울특별시 성북구 길음로9길 50
107,백스비어,서울특별시 금천구 시흥대로 291
108,역전우동0410,서울특별시 구로구 신도림동 337
109,빽다방,서울특별시 중구 퇴계로 423
110,홍콩반점0410,서울특별시 마포구 월드컵북로54길 17 218
111,리춘시장,서울특별시 금천구 시흥대로122길 16
112,빽다방,서울특별시 금천구 가산디지털1로 171
113,빽다방,서울특별시 성북구 돌곶이로 220
114,빽다방,서울특별시 동작구 사당로 10
115,빽다방,서울특별시 도봉구 도당로 10 02
116,홍콩반점0410,서울특별시 노원구 동일로174길 32
117,빽다방,서울특별시 영등포구 선유서로24길 6
